sq_feet,dt_dist,color,pool,blue,green,rent
1195.303732,3.505617157,Red,1,0,0,879.6821186
1502.807374,4.577163743,Red,0,0,0,1016.72955
1839.383202,2.606373194,Red,0,0,0,1179.484098
1405.328043,3.343034435,Blue,0,1,0,985.9456874
1390.68,4.262791014,Red,0,0,0,750.0729619
1318.79,4.128393417,Red,0,0,0,760.4552857
1483.664961,3.642067233,Blue,0,1,0,1042.952661
1411.930075,3.285773307,Blue,0,1,0,1122.76698
1400.948625,4.026080887,Blue,0,1,0,911.4241089
1788.883181,4.578050445,Green,0,0,1,1163.120239
1530.048349,4.111484387,Red,0,0,0,953.2878713
1392.239834,4.83656936,Red,0,0,0,821.4459904
1418.118423,5.772610762,Red,0,0,0,880.3361073
1584.469711,4.642224729,Red,0,0,0,832.7167362
1636.015883,5.45,Green,0,0,1,1135.146475
1633.247641,2.891405011,Blue,0,1,0,1161.48903
1447.897401,2.83,Red,1,0,0,1237.22819
1420.324598,5.369670571,Blue,0,1,0,1099.138984
1656.851635,4.350307005,Red,0,0,0,1032.273726
1180.879224,4.07101532,Blue,1,1,0,955.6652961
1431.826961,4.286043689,Red,1,0,0,925.4375903
1393.25338,3.667833255,Red,0,0,0,877.7941954
1571.888551,5.487602184,Red,1,0,0,1131.843679
1526.230758,4.767585797,Red,1,0,0,1261.57145
1687.190119,5.448465664,Red,0,0,0,1030.903891
1399.352013,4.879700582,Blue,0,1,0,888.5675929
1486.197499,4.25181691,Blue,1,1,0,1158.541864
1341.266848,4.893928359,Blue,0,1,0,937.5931744
1511.358442,3.158001478,Blue,0,1,0,1235.336752
1725.576337,4.071662957,Green,0,0,1,1397.231315
1594.798264,4.754068473,Red,1,0,0,1064.973454
1633.497664,4.552675112,Red,0,0,0,1095.188594
1540.500941,5.307927102,Red,1,0,0,1241.581621
1565.410141,4.129824814,Red,0,0,0,1008.798067
1494.922589,4.792002089,Red,0,0,0,911.6324418
1485.14479,3.8626326,Blue,1,1,0,1375.308168
1222.558974,3.659555761,Blue,0,1,0,912.8349401
1522.920515,3.510530208,Red,1,0,0,1361.804167
1453.908042,4.857731274,Blue,1,1,0,1050.534956
1370.979981,4.361423504,Red,0,0,0,837.7132607
1456.042043,3.756069415,Blue,0,1,0,970.9447033
1438.13,4.032136998,Blue,0,1,0,1016.164864
1388.106865,3.992684918,Red,0,0,0,862.1281537
1485.26251,3.893564117,Blue,0,1,0,1053.066244
1747.502585,3.653059905,Red,1,0,0,1255.567552
1465.57431,4.43,Blue,0,1,0,1183.215591
1711.614338,3.775099072,Red,0,0,0,1165.821948
1493.861855,3.758301864,Red,0,0,0,1097.556146
1550.020109,4.679814764,Blue,0,1,0,1016.569969
1841.68,3.342455214,Blue,1,1,0,1696.429284
1451.880339,5.343962586,Blue,0,1,0,1008.643273
1678.952262,3.612215903,Blue,0,1,0,1343.517559
1599.133697,3.898623429,Red,0,0,0,970.4475501
1412.165068,5.6,Blue,1,1,0,1152.271837
1195.555096,4.319951893,Blue,0,1,0,801.6625425
1407.04447,3.548190175,Green,0,0,1,959.3934772
1629.624822,2.661490142,Red,0,0,0,1205.234773
1233.04153,3.39283236,Red,0,0,0,772.745258
1709.81897,5.508423764,Blue,0,1,0,1056.938973
1447.414836,3.622669885,Blue,1,1,0,1170.110994
1761.370645,4.190819633,Green,0,0,1,1192.31533
1740.257704,3.648227757,Green,0,0,1,1193.9052
1295.424887,3.33683406,Blue,0,1,0,1045.243069
1424.053469,4.615346563,Blue,0,1,0,708.7025024
1280.734257,4.101433995,Red,0,0,0,818.3938066
1439.126082,4.083142308,Blue,0,1,0,1144.75497
1363.514666,3.332932049,Red,0,0,0,1045.87776
1692.840568,3.11685468,Red,0,0,0,1250.024336
1706.568637,4.580975999,Blue,0,1,0,1091.097229
1310.707335,3.90670783,Blue,0,1,0,958.2631935
